BOLD sample ID	Family	Species	GenBank Accession	Sequence length	Country	Lat	Lon
ZMUO.003040	Melandryidae	Abdera affinis	KJ963274	627[0n]	Finland	67.699	29.715
ZMUO.003179	Melandryidae	Abdera affinis	KJ966615	658[0n]	Finland	67.699	29.715
ZMUO.003180	Melandryidae	Abdera affinis	KJ964738	658[0n]	Finland	67.699	29.715
ZMUO.006397	Melandryidae	Abdera affinis	KJ962234	658[0n]	Sweden	56.932	16.424
ZMUO.004171	Melandryidae	Abdera triguttata	KJ967121	658[0n]	Finland	64.244	30.379
ZMUO.007825	Histeridae	Abraeus perpusillus	KJ967075	657[0n]	Sweden	56.794	16.571
ZMUO.001679	Curculionidae	Acalyptus carpini	KJ963255	658[0n]	Finland	65.033	25.418
ZMUO.004790	Curculionidae	Acalyptus sericeus	KJ963752	655[0n]	Finland	60.183	24.616
ZMUO.001915	Cerambycidae	Acanthocinus aedilis	KJ963710	658[0n]	Finland	62.617	29.562
ZMUO.001448	Cerambycidae	Acanthocinus aedilis	KJ965934	658[0n]	Finland	65.132	25.945
ZMUO.005269	Cerambycidae	Acanthocinus aedilis	KJ965876	658[0n]	Finland	62.966	31.288
ZMUO.004727	Cerambycidae	Acanthocinus aedilis	KJ963272	658[0n]	Finland	65.060	25.471
MP00200	Cerambycidae	Acanthocinus aedilis	HM909066	658[0n]	Finland	65.015	25.503
ZMUO.001544	Cerambycidae	Acanthocinus griseus	KJ963896	658[0n]	Finland	64.244	30.379
ZMUO.005226	Cerambycidae	Acanthocinus griseus	KJ966915	658[0n]	Finland	60.090	24.623
ZMUO.003987	Chrysomelidae	Acanthoscelides obtectus	KJ967359	658[0n]	Finland	63.140	21.741
ZMUO.003988	Chrysomelidae	Acanthoscelides obtectus	KJ962630	658[0n]	Finland	63.140	21.741
ZMUO.003989	Chrysomelidae	Acanthoscelides obtectus	KJ962201	658[0n]	Finland	63.140	21.741
ZMUO.001961	Staphylinidae	Acidota crenata	KJ962832	658[0n]	Finland	66.380	29.427
ZMUO.005019	Staphylinidae	Acidota crenata	KJ965467	658[0n]	Finland	60.164	24.715
ZMUO.002483	Staphylinidae	Acidota crenata	KJ964014	658[0n]	Finland	68.390	28.067
ZMUO.003991	Staphylinidae	Acidota crenata	KJ965168	658[0n]	Finland	64.391	25.881
ZMUO.005126	Staphylinidae	Acidota crenata	KJ965282	622[0n]	Finland	61.450	27.413
ZMUO.002498	Staphylinidae	Acidota quadrata	KJ965265	658[0n]	Finland	70.059	27.889
ZMUO.002958	Staphylinidae	Acidota quadrata	KJ965956	658[0n]	Finland	69.813	27.178
ZMUO.004835	Dytiscidae	Acilius canaliculatus	KJ965132	658[0n]	Finland	60.206	21.844
ZMUO.000608	Dytiscidae	Acilius canaliculatus	KJ966102	658[0n]	Finland	65.116	25.829
ZMUO.000486	Dytiscidae	Acilius canaliculatus	KJ966303	658[0n]	Finland	65.116	25.829
ZMUO.000489	Dytiscidae	Acilius canaliculatus	KJ963625	658[0n]	Finland	65.116	25.829
ZMUO.004140	Dytiscidae	Acilius sulcatus	KJ966184	658[0n]	Estonia	58.272	26.392
ZMUO.004829	Dytiscidae	Acilius sulcatus	KJ964137	658[0n]	Finland	60.056	20.172
ZMUO.003096	Silphidae	Aclypea opaca	KJ963956	658[0n]	Finland	64.938	25.483
ZMUO.007574	Cerambycidae	Acmaeops pratensis	KJ963373	658[0n]	Finland	61.202	25.168
ZMUO.003362	Cerambycidae	Acmaeops pratensis	KJ962723	658[0n]	Finland	65.449	29.638
ZMUO.005273	Cerambycidae	Acmaeops pratensis	KJ965399	658[0n]	Finland	62.966	31.288
ZMUO.000708	Cerambycidae	Acmaeops septentrionis	KJ962917	658[0n]	Finland	67.882	23.752
ZMUO.006177	Cerambycidae	Acmaeops septentrionis	KJ963748	554[0n]	Finland	66.748	26.569
ZMUO.007512	Cerambycidae	Acmaeops septentrionis	KJ962493	658[0n]	Finland	65.511	29.367
ZMUO.006568	Histeridae	Acritus nigricornis	KJ966257	658[0n]	Sweden	56.539	16.412
ZMUO.000994	Staphylinidae	Acrolocha pliginskii	KJ964663	658[0n]	Finland	60.046	19.983
ZMUO.001186	Staphylinidae	Acrolocha pliginskii	KJ964869	658[0n]	Finland	60.066	19.960
ZMUO.001187	Staphylinidae	Acrolocha pliginskii	KJ962995	658[0n]	Finland	60.066	19.960
ZMUO.001203	Staphylinidae	Acrolocha pliginskii	KJ964439	658[0n]	Finland	60.066	19.960
ZMUO.001202	Staphylinidae	Acrolocha sulcula	KJ966908	658[0n]	Finland	60.066	19.960
ZMUO.002517	Staphylinidae	Acrostiba borealis	KJ964130	634[0n]	Finland	66.366	29.323
ZMUO.000519	Staphylinidae	Acrotona amplicollis	KJ962587	658[0n]	Finland	65.116	25.829
ZMUO.000780	Staphylinidae	Acrotona aterrima	KJ963706	658[0n]	Finland	67.233	28.388
ZMUO.000783	Staphylinidae	Acrotona aterrima	KJ965138	658[0n]	Finland	67.233	28.388
ZMUO.000977	Staphylinidae	Acrotona aterrima	KJ967036	658[0n]	Finland	60.046	19.983
ZMUO.000784	Staphylinidae	Acrotona aterrima	KJ964470	658[0n]	Finland	63.660	29.095
ZMUO.002348	Staphylinidae	Acrotona convergens	KJ965878	658[0n]	Finland	60.068	19.958
ZMUO.000589	Staphylinidae	Acrotona fungi	KJ966678	658[0n]	Finland	64.969	24.720
ZMUO.002016	Staphylinidae	Acrotona fungi	KJ962701	658[0n]	Finland	69.863	27.014
ZMUO.001158	Staphylinidae	Acrotona obfuscata	KJ965415	658[0n]	Estonia	57.844	27.466
ZMUO.001021	Staphylinidae	Acrotona orbata	KJ967070	658[0n]	Finland	60.240	19.484
ZMUO.001023	Staphylinidae	Acrotona orbata	KJ963730	658[0n]	Finland	60.240	19.484
ZMUO.001852	Staphylinidae	Acrotona orbata	KJ963631	658[0n]	Finland	60.189	21.926
ZMUO.006677	Staphylinidae	Acrotona parvula	KJ962281	658[0n]	Finland	60.060	20.209
ZMUO.000986	Staphylinidae	Acrotona parvula	KJ964433	658[0n]	Finland	60.046	19.983
ZMUO.002026	Staphylinidae	Acrotona parvula	KJ966225	658[0n]	Finland	64.417	27.677
ZMUO.007482	Staphylinidae	Acrotona pilosicollis	KJ964027	654[4n]	Estonia	58.253	26.411
ZMUO.002456	Staphylinidae	Acrotona pseudotenera	KJ966234	633[0n]	Finland	65.063	25.471
ZMUO.002350	Staphylinidae	Acrotona pseudotenera	KJ964582	658[0n]	Finland	60.068	19.958
ZMUO.001022	Staphylinidae	Acrotona pygmaea	KJ963268	658[0n]	Finland	60.240	19.484
MP00285	Staphylinidae	Acrotona sylvicola	HM909097	658[0n]	Finland	65.070	24.624
ZMUO.000465	Staphylinidae	Acrotona sylvicola	KJ964938	658[0n]	Finland	64.969	24.720
ZMUO.007869	Ptiliidae	Acrotrichis cognata	KJ965687	609[0n]	Finland	65.018	25.420
ZMUO.007835	Ptiliidae	Acrotrichis intermedia	KJ963821	658[0n]	Finland	61.504	29.583
MP00171	Ptiliidae	Acrotrichis nr. sitkaensis	HM909056	658[0n]	Finland	65.037	24.564
ZMUO.002496	Staphylinidae	Acrulia inflata	KJ965805	658[0n]	Finland	68.390	28.067
ZMUO.003298	Elateridae	Actenicerus sjaelandicus	KJ966151	658[0n]	Estonia	58.278	27.328
ZMUO.006882	Elateridae	Actenicerus sjaelandicus	KJ962210	658[0n]	Finland	65.897	24.474
ZMUO.000753	Elateridae	Actenicerus sjaelandicus	KJ966487	658[0n]	Finland	60.351	23.114
ZMUO.004903	Elateridae	Actenicerus sjaelandicus	KJ967524	658[0n]	Finland	61.038	25.043
ZMUO.005454	Elateridae	Actenicerus sjaelandicus	KJ962060	656[0n]	Finland	61.454	27.418
ZMUO.001438	Elateridae	Actenicerus sjaelandicus	KJ961762	658[0n]	Finland	60.232	20.077
ZMUO.003928	Elateridae	Actenicerus sjaelandicus	KJ965119	658[0n]	Finland	65.116	25.829
ZMUO.004307	Carabidae	Acupalpus flavicollis	KJ961989	658[0n]	Finland	61.450	27.413
ZMUO.004314	Carabidae	Acupalpus meridianus	KJ966817	658[0n]	Finland	60.179	24.712
ZMUO.005752	Carabidae	Acupalpus parvulus	KJ965225	630[0n]	Finland	60.218	19.549
ZMUO.002401	Carabidae	Acupalpus parvulus	KJ963129	658[0n]	Finland	65.024	25.427
ZMUO.000813	Carabidae	Acupalpus parvulus	KJ963638	658[0n]	Finland	60.435	26.870
ZMUO.000823	Carabidae	Acupalpus parvulus	KJ962785	656[2n]	Finland	60.435	26.870
ZMUO.004315	Carabidae	Acupalpus parvulus	KJ963492	658[0n]	Finland	60.179	24.707
ZMUO.005950	Carabidae	Acupalpus parvulus	KJ964928	658[0n]	Sweden	56.938	16.406
ZMUO.005109	Staphylinidae	Acylophorus wagenschieberi	KJ962063	658[0n]	Finland	61.454	27.418
ZMUO.007346	Coccinellidae	Adalia bipunctata	KJ964290	658[0n]	Finland	60.165	19.536
ZMUO.004976	Coccinellidae	Adalia bipunctata	KJ964535	658[0n]	Finland	60.161	24.860
ZMUO.007175	Coccinellidae	Adalia bipunctata	KJ963219	658[0n]	Finland	60.572	27.196
ZMUO.005291	Coccinellidae	Adalia conglomerata	KJ963575	658[0n]	Finland	66.366	25.381
ZMUO.005507	Coccinellidae	Adalia conglomerata	KJ963117	658[0n]	Finland	65.008	25.804
ZMUO.005310	Coccinellidae	Adalia decempunctata	KJ966482	658[0n]	Finland	60.175	24.702
ZMUO.005871	Coccinellidae	Adalia decempunctata	KJ961723	658[0n]	Sweden	56.794	16.571
ZMUO.005872	Coccinellidae	Adalia decempunctata	KJ965563	658[0n]	Sweden	56.794	16.571
ZMUO.006556	Elateridae	Adrastus pallens	KJ962366	658[0n]	Finland	60.973	25.716
ZMUO.006557	Elateridae	Adrastus pallens	KJ967491	658[0n]	Finland	60.973	25.716
ZMUO.003837	Elateridae	Adrastus pallens	KJ963765	658[0n]	Finland	61.065	28.195
ZMUO.003862	Elateridae	Adrastus pallens	KJ963837	658[0n]	Finland	61.065	28.195
ZMUO.007249	Scarabaeidae	Aegialia arenaria	KJ963724	658[0n]	Finland	59.895	23.236
ZMUO.007250	Scarabaeidae	Aegialia arenaria	KJ963970	658[0n]	Finland	59.895	23.236
ZMUO.007251	Scarabaeidae	Aegialia arenaria	KJ966862	658[0n]	Finland	59.895	23.236
ZMUO.004988	Scarabaeidae	Aegialia sabuleti	KJ967031	657[1n]	Finland	60.156	24.788
ZMUO.004220	Scarabaeidae	Aegialia sabuleti	KJ961959	658[0n]	Finland	65.693	24.594
ZMUO.006842	Dytiscidae	Agabus affinis	KJ966040	658[0n]	Finland	66.869	27.457
ZMUO.006843	Dytiscidae	Agabus affinis	KJ965458	658[0n]	Finland	66.869	27.457
ZMUO.006844	Dytiscidae	Agabus affinis	KJ966280	658[0n]	Finland	66.869	27.457
ZMUO.006772	Dytiscidae	Agabus affinis	KJ963465	658[0n]	Finland	66.375	29.293
ZMUO.006773	Dytiscidae	Agabus affinis	KJ964853	658[0n]	Finland	66.375	29.293
ZMUO.006980	Dytiscidae	Agabus arcticus	KJ964028	658[0n]	Finland	68.021	24.097
ZMUO.005050	Dytiscidae	Agabus bipustulatus	KJ965397	658[0n]	Finland	60.206	21.844
ZMUO.005636	Dytiscidae	Agabus bipustulatus	KJ967282	658[0n]	Finland	60.012	20.186
ZMUO.001036	Dytiscidae	Agabus bipustulatus	KJ965404	658[0n]	Finland	60.012	20.186
ZMUO.004294	Dytiscidae	Agabus bipustulatus	KJ962022	658[0n]	Finland	65.811	24.692
ZMUO.004297	Dytiscidae	Agabus bipustulatus	KJ965763	658[0n]	Finland	65.811	24.692
MP00405	Dytiscidae	Agabus bipustulatus	HQ559253	620[1n]	Finland	69.045	20.840
ZMUO.007088	Dytiscidae	Agabus congener	KJ963681	658[0n]	Finland	60.232	19.919
